,dataset,rewiring,layer_type,num_iterations,borf_batch_add,borf_batch_remove,sdrf_remove_edges,alpha,eps,test_mean,test_ci,val_mean,val_ci,train_mean,train_ci,last_layer_fa,run_duration
0,mutag,,GCN,40,20,3,False,0.1,0.001,0.0,0.0,0.0,0.0,0.0,0.0,False,20.311429977416992
0,mutag,,GCN,40,20,3,False,0.1,0.001,0.0,0.0,0.0,0.0,0.0,0.0,False,160.48356413841248
0,mutag,,GCN,40,20,3,False,0.1,0.001,0.0,0.0,0.0,0.0,0.0,0.0,False,160.48356413841248
1,enzymes,,GCN,40,20,3,False,0.1,0.001,0.0,0.0,0.0,0.0,0.0,0.0,False,544.893233537674
0,mutag,,GCN,40,20,3,False,0.1,0.001,0.0,0.0,0.0,0.0,0.0,0.0,False,160.48356413841248
1,enzymes,,GCN,40,20,3,False,0.1,0.001,0.0,0.0,0.0,0.0,0.0,0.0,False,544.893233537674
2,proteins,,GCN,40,20,3,False,0.1,0.001,0.0,0.0,0.0,0.0,0.0,0.0,False,683.2089550495148
0,mutag,,GCN,40,20,3,False,0.1,0.001,0.0,0.0,0.0,0.0,0.0,0.0,False,160.48356413841248
1,enzymes,,GCN,40,20,3,False,0.1,0.001,0.0,0.0,0.0,0.0,0.0,0.0,False,544.893233537674
2,proteins,,GCN,40,20,3,False,0.1,0.001,0.0,0.0,0.0,0.0,0.0,0.0,False,683.2089550495148
3,imdb,,GCN,40,20,3,False,0.1,0.001,0.0,0.0,0.0,0.0,0.0,0.0,False,563.5293548107147
0,mutag,,GCN,40,20,3,False,0.1,0.001,0.0,0.0,0.0,0.0,0.0,0.0,False,54.00543189048767
0,enzymes,,GCN,40,20,3,False,0.1,0.001,0.0,0.0,0.0,0.0,0.0,0.0,False,174.36607193946838
0,peptides_func,,GCN,40,20,3,False,0.1,0.001,0.0,0.0,0.0,0.0,0.0,0.0,False,4853.343506574631
